,,score_PC1,score_PC1,score_PC1,score_PC1,score_PC1,score_PC2,score_PC2,score_PC2,score_PC2,score_PC2,score_PC3,score_PC3,score_PC3,score_PC3,score_PC3,score_PC4,score_PC4,score_PC4,score_PC4,score_PC4,score_PC5,score_PC5,score_PC5,score_PC5,score_PC5
,,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
president_short,speech_label,,,,,,,,,,,,,,,,,,,,,,,,,
Eisenhower,1953 Inaugural Address,-4.008368953798034,-3.9203143811746015,1.1699237317601907,-7.860463301842628,-1.5404165219646608,1.7858001963328776,1.8623498331023973,1.082445455077856,-1.2537412937162693,4.119768551236884,-2.2020950410911806,-2.0153995180045534,1.2125030154276284,-8.187433646963317,-0.06910895354829716,10.18771660769256,10.044715095597827,2.1995364368778474,4.006468084425631,16.566233950963714,12.425682678274333,12.362995042116658,2.2422969823561254,4.5573867653045586,20.31284811921202
Eisenhower,Farewell Address,-3.384201390816883,-3.3909977705684393,1.3279650578273685,-7.558352546316052,-0.8521371193464531,1.2364523025914194,1.218260042842734,0.9719241208466293,-0.5803704386611024,3.7766956203703748,-1.766013512656689,-1.8231643624041411,1.1845475872948759,-5.776012116646305,0.9895085142090401,8.630609526122695,8.493907627937073,2.1764791523203493,2.283015442663932,13.542541414177995,11.735477879775779,11.879327570434171,2.4303482115272295,4.734540861967746,16.69056992934976
Eisenhower,Mutual Security in Waging the Peace,-3.6089349456990663,-3.5305621423481623,1.334721744523221,-8.00879864459414,0.7722085812635275,1.3793262327256388,1.3673496130190963,1.111892568901967,-2.243465744087226,4.121840554188142,-1.5270538791160668,-1.4356884875156308,1.0111427616679802,-5.04173117416013,0.9702417306496782,7.938263324784602,7.730882858852759,1.5421764491001586,3.439007043644323,13.775408490253442,11.577362559840385,11.564107009644236,2.0043345367355,6.894115627597673,16.891048932628024
Eisenhower,Our Future Security,-3.305561334685835,-3.313481798363677,1.1998293486826825,-6.781757747684692,0.024374657937614064,1.2640321261349876,1.1828381441295348,1.1034655681074703,-1.0818939688556095,5.426211192737544,-1.425244098957046,-1.383699885263671,1.131483397013108,-4.575360389996138,1.5439249473995158,7.9119675246676735,7.806766370594767,1.9207256193729887,2.8106372601596363,15.298624041601292,11.059343795813998,10.966486594869771,2.2647048715503337,3.1909319188046434,18.648329063067976
Eisenhower,UN General Assembly Address,-2.8667093994560284,-2.8370117805214887,1.0783610379046071,-7.742278545438982,-0.21418640594212635,1.0233932651770872,0.9747120806722835,0.834546745604732,-1.6667148025940652,3.45327535122947,-0.9241869468841261,-0.9623473363165775,0.8318783388408809,-3.2272448655252997,1.6944072417124527,7.1275264359667085,7.110534717307781,1.4944728640290412,3.9289503366903022,12.811513899635104,10.373756291053086,10.35873991322642,1.92577138198753,5.665367415958801,16.991183267484573
Fillmore,First Annual Message,-2.76601382227503,-2.7732085531798463,0.910410656234338,-6.200152579584255,-0.12456191763709601,1.3331717252789184,1.2612514779801471,0.7869894831709112,-1.9524213845909095,3.744043908819215,-1.2225049186335655,-1.1414149069836745,1.0594455775139244,-4.795635889887399,1.3181470854271478,8.618246024020825,8.639975287052776,1.708604337350408,5.078721831287881,13.658677297000954,11.74084087500532,11.853726810767668,1.8928941551020941,6.672006906110589,18.121052792193808
Fillmore,Longest Special Message 1850,-1.8972623906211254,-1.7443952736879549,0.9400486994540413,-5.10910259968124,-0.7596969678792824,1.0873593505566475,1.151723283607617,0.4586445864413497,0.2885392608700901,1.9707467489393904,-0.8816958257751797,-0.9564991937428013,0.8104316881335383,-2.414644288243812,1.2165126870928376,7.1031992940983395,6.89056486316426,0.9888311483282402,5.744264932994286,9.426321351054556,10.41404868114293,10.003826674585248,1.539374075731177,8.231492721505573,13.98843120707454
Fillmore,Longest Special Message 1851,-2.173508966388886,-2.19809456371374,0.7116887007141824,-3.8421360426780486,-0.4999423889760233,1.2307779898999127,1.221306452933703,0.6313090339594878,-0.10142127621559238,2.5583402174562364,-1.4473225800619247,-1.2882897600222372,0.9179210170749861,-4.265576560375695,-0.22664534819743887,7.769573924576743,7.636758591507979,1.1867668493736272,6.038677566905617,10.521367459551595,12.03247050203089,11.520440903217796,2.0722957698794695,8.960332321275631,16.312402341699066
Fillmore,Second Annual Message,-2.54813151024466,-2.466954307756091,0.8921502748738868,-5.855256069560734,-0.14640802435587696,1.3436447549515147,1.3177274702759285,0.9260859196085409,-1.0770809611655525,6.819352657489155,-1.0123974502206228,-1.1179952623719664,1.1814894781725809,-6.167328009672833,4.582651939245174,7.87349487223377,7.695167724132723,1.3600607929750168,4.943831232735586,15.187934093706009,11.184742089869255,10.963798544758124,1.8184629395153153,6.991891395276478,16.824851065262592
Fillmore,Third Annual Message,-2.8222426388990893,-2.7320576301502797,1.0320342466347114,-7.000085239860244,-0.7479968337219205,1.3252474958264389,1.272738748255258,1.0157337958504433,-1.561762601206393,6.928965075912668,-1.1552750308597244,-1.074031318603125,1.166970350430809,-4.690908425109006,3.321051918784967,8.461659154372441,8.285338116736256,1.7745006505520868,5.093398833564032,13.174352607971231,11.62621875540314,11.527596525514939,2.134069222723719,7.078923763276494,17.674609063259133
Ford,1976 State of the Union,-3.4155180609942786,-3.301694218229313,1.1541088886607698,-6.917464681384617,-0.6886355811245295,1.717391567056825,1.6020105390901804,1.274372935001815,-1.8269027573621117,5.712211433517314,-1.3138149002801025,-1.3686854045728247,1.1006328922051143,-5.366056637694721,2.3270044216789194,8.310073211014105,8.166912741836283,1.702869434361102,2.6192217307035355,14.305628289854488,11.583722540830667,11.612310962083587,2.280899332334201,4.490211507336855,17.90403835323919
Ford,Inflation Summit Opening,-2.4946975249401815,-2.1819892334670667,1.4081858920613293,-5.946983091283172,0.2465814470837806,1.0025700679447533,0.8345021443745462,0.8953323856833241,-0.3987506903493463,2.9160522790458954,-1.2642390235841356,-1.175379139265749,1.0216340508454675,-4.07055266601538,0.4525076434233197,8.336537264966687,7.8135056321696394,2.235774827307207,6.010300893966774,14.848406434973727,11.470480301302292,11.031542245856619,2.508894313020964,7.795973120117861,15.350200757315845
Ford,Nixon Pardon,-1.3264480357611752,-1.5885835774042074,0.7418981459517108,-2.284943760760919,-0.14485877851309903,1.4384250555964948,1.222814546763507,1.458343403616369,-0.39973232835146977,4.605477540533283,-0.3993142730400514,-0.5396778330160952,0.7970227977913021,-1.6251200872265228,1.2663546828264822,7.242105575230033,7.2350261816043755,1.0726656167939923,4.954311797988549,8.877188027648655,9.511035460215158,9.853358601014971,1.9764654715980265,6.321963142992394,12.375825156186664
Ford,Oath of Office Remarks,-3.044713389906165,-2.883765801805271,1.5276108741306045,-7.042731997167174,-0.40079980650479685,0.45715675228949454,0.6274874572069058,0.9711516274678157,-2.846420542901089,1.8552036465353434,-1.376667231677173,-1.2909057201104173,0.8654340721215694,-3.119061278098843,0.20355999275198888,8.59001185950619,8.242973154658317,1.650910670791215,5.7280238700563855,14.011408748341466,11.97739920184974,11.729062268064952,1.7484441000022017,9.485248835937673,16.530630438328306
Ford,Tulane Vietnam Speech,-3.44413215484026,-3.494233005457896,1.0736135293519526,-5.613929276879292,-0.8859965359033071,0.8982363144065636,1.047186905702918,1.3009008302476839,-5.781159455207284,3.9465128598469374,-1.7120813538964013,-1.6354450515705525,1.1670179070169053,-8.22753981641632,0.6596215951927284,8.012375148780121,7.671437193743264,1.6935042637812496,4.3788410446941075,11.910614404552236,10.661948053022385,10.696147516546613,1.9090490688377582,5.554095633847792,15.23122737080728
Truman,1949 Inaugural Address,-3.4645752720207703,-3.431371355773244,1.1596258432507167,-7.953796953307696,-1.4063406745313731,1.5346183441364596,1.4425410437307684,1.2033607547191159,-1.6574516332075915,6.794178541754368,-1.497600096929704,-1.4414417900908587,0.996345824968276,-4.414554095593139,1.8331371535226215,8.393884369385,8.123554417244872,1.7952814464513573,5.122645267364263,14.58274692765587,11.49615802986727,11.642198744776543,1.7389253896555457,7.3268166369663925,15.563591032711185
Truman,A-Bomb Hiroshima Statement,-3.5424125704925062,-3.348943709392591,1.1904461432769189,-7.20538708549141,-1.2503817482364936,1.289120735351287,1.0761282727850523,1.2657896220622424,-2.3136968604208548,3.816487839901633,-2.024507974238118,-1.7141653449829652,1.3230057209080341,-5.466661304668175,-0.2207559815130007,7.716396392112685,7.609893277496753,1.7955903433981326,4.75140914077576,12.209839408411934,11.141614119450795,10.419705751145797,2.307878346183199,6.921371618465179,17.257816988851086
Truman,Farewell Address,-2.8362904893470953,-2.9817175082981056,1.4120859005968611,-6.0017943648136445,1.7076241486546182,0.74886577895355,0.6198442046226678,1.1513820090314637,-1.9438443614255374,4.359245894248561,-1.2436511195850326,-1.2543132149134522,1.0394242296406144,-4.362482935040311,4.0697307508377465,7.305499010468007,7.366812331206199,1.921908820192783,-0.4849911784699792,14.94530100174883,9.727368031874288,9.929785734846336,2.821357505493331,-4.5057304492670305,18.124944852453844
Truman,Korean War Report,-2.6661714175603954,-2.777787924633707,1.0181491313363995,-6.416884938012096,-0.43312657927344156,1.2223843418074147,1.14707119924909,1.1077219564707492,-1.2556433135198255,4.848934838702219,-1.420133595424225,-1.376862647749661,0.8981362652102071,-4.065204233204686,0.8392711168386207,7.340285757821349,7.216208765712336,1.4967708546655796,3.9680915691155922,12.885229774346335,10.584515229247776,10.595476857581803,1.8438151218345582,4.986701242292774,16.119779399392247
Truman,Truman Doctrine,-3.3430304354968943,-3.3571791737008474,1.443088886061396,-10.28761376874813,-0.6271870275295832,1.822350298963767,1.8395991576166693,1.0107387105513665,-0.5929601516564973,4.45814525546794,-1.4102565514399101,-1.360927939420792,1.242250968393796,-5.392101318684429,2.489843002357166,7.976389078015227,7.697409342160622,1.7450272742299835,3.6807781417593537,12.869866268228455,11.411744185905114,11.70902211454001,1.939686935086175,6.527189937798122,15.123117871072045
